tag,url
aventure,https://www.babelio.com/livres-/aventure/33
album,https://www.babelio.com/livres-/album/63
document,https://www.babelio.com/livres-/document/74
saga,https://www.babelio.com/livres-/saga/140
prix goncourt,https://www.babelio.com/livres-/prix-goncourt/143
journal,https://www.babelio.com/livres-/journal/183
encyclopédie,https://www.babelio.com/livres-/encyclopedie/212
récits,https://www.babelio.com/livres-/recits/253
mémoires,https://www.babelio.com/livres-/memoires/311
uchronie,https://www.babelio.com/livres-/uchronie/329
chroniques,https://www.babelio.com/livres-/chroniques/370
épopée,https://www.babelio.com/livres-/epopee/493
journal intime,https://www.babelio.com/livres-/journal-intime/509
satire,https://www.babelio.com/livres-/satire/551
tragédie,https://www.babelio.com/livres-/tragedie/601
roman d'aventure,https://www.babelio.com/livres-/roman-daventure/680
entretiens,https://www.babelio.com/livres-/entretiens/708
serie,https://www.babelio.com/livres-/serie/788
roman initiatique,https://www.babelio.com/livres-/roman-initiatique/888
journalisme,https://www.babelio.com/livres-/journalisme/975
fables,https://www.babelio.com/livres-/fables/1071
premier roman,https://www.babelio.com/livres-/premier-roman/1202
roman d'apprentissage,https://www.babelio.com/livres-/roman-dapprentissage/1327
histoire vraie,https://www.babelio.com/livres-/histoire-vraie/1477
anthologies,https://www.babelio.com/livres-/anthologies/25295
roman,https://www.babelio.com/livres-/roman/1
urban fantasy,https://www.babelio.com/livres-/urban-fantasy/16343
anticipation,https://www.babelio.com/livres-/anticipation/60
dystopie,https://www.babelio.com/livres-/dystopie/879
fantasy,https://www.babelio.com/livres-/fantasy/4
fantastique,https://www.babelio.com/livres-/fantastique/7
roman fantastique,https://www.babelio.com/livres-/roman-fantastique/912
roman historique,https://www.babelio.com/livres-/roman-historique/30
historique,https://www.babelio.com/livres-/historique/66
manga,https://www.babelio.com/livres-/manga/12
essai,https://www.babelio.com/livres-/essai/13
documentaire,https://www.babelio.com/livres-/documentaire/111
comédie,https://www.babelio.com/livres-/comedie/441
parodie,https://www.babelio.com/livres-/parodie/731
bande dessinée,https://www.babelio.com/livres-/bande-dessinee/18
théâtre,https://www.babelio.com/livres-/theatre/21
nouvelles,https://www.babelio.com/livres-/nouvelles/23
poésie,https://www.babelio.com/livres-/poesie/25
poèmes,https://www.babelio.com/livres-/poemes/926
classique,https://www.babelio.com/livres-/classique/28
biographie,https://www.babelio.com/livres-/biographie/31
autobiographie,https://www.babelio.com/livres-/autobiographie/45
roman autobiographique,https://www.babelio.com/livres-/roman-autobiographique/666
biographie romancée,https://www.babelio.com/livres-/biographie-romancee/1318
récits de vie,https://www.babelio.com/livres-/recits-de-vie/10687
epouvante,https://www.babelio.com/livres-/epouvante/93
