tag,url
meurtre,https://www.babelio.com/livres-/meurtre/505
tueur en série,https://www.babelio.com/livres-/tueur-en-serie/996
crime,https://www.babelio.com/livres-/crime/1255
détective,https://www.babelio.com/livres-/detective/1700
feel good book,https://www.babelio.com/livres-/feel-good-book/246462
homosexualité,https://www.babelio.com/livres-/homosexualite/486
lgbt,https://www.babelio.com/livres-/lgbt/16749
france,https://www.babelio.com/livres-/france/22
états-unis,https://www.babelio.com/livres-/etats-unis/36
europe,https://www.babelio.com/livres-/europe/594
amérique,https://www.babelio.com/livres-/amerique/678
québec,https://www.babelio.com/livres-/quebec/824
norvège,https://www.babelio.com/livres-/norvege/1108
littérature française,https://www.babelio.com/livres-/litterature-francaise/3
français,https://www.babelio.com/livres-/francais/19
littérature francophone,https://www.babelio.com/livres-/litterature-francophone/82
littérature américaine,https://www.babelio.com/livres-/litterature-americaine/9
bretagne,https://www.babelio.com/livres-/bretagne/241
provence,https://www.babelio.com/livres-/provence/295
Normandie (France),https://www.babelio.com/livres-/Normandie-France/88817
Paris (France),https://www.babelio.com/livres-/Paris-France/88917
littérature anglaise,https://www.babelio.com/livres-/litterature-anglaise/29
littérature britannique,https://www.babelio.com/livres-/litterature-britannique/62
londres,https://www.babelio.com/livres-/londres/1062
littérature russe,https://www.babelio.com/livres-/litterature-russe/73
littérature chinoise,https://www.babelio.com/livres-/litterature-chinoise/464
rome,https://www.babelio.com/livres-/rome/347
venise,https://www.babelio.com/livres-/venise/890
afrique,https://www.babelio.com/livres-/afrique/156
littérature africaine,https://www.babelio.com/livres-/litterature-africaine/1033
afrique du sud,https://www.babelio.com/livres-/afrique-du-sud/1290
littérature australienne,https://www.babelio.com/livres-/litterature-australienne/1985
inde,https://www.babelio.com/livres-/inde/236
littérature indienne,https://www.babelio.com/livres-/litterature-indienne/748
irlande,https://www.babelio.com/livres-/irlande/281
littérature irlandaise,https://www.babelio.com/livres-/litterature-irlandaise/348
asie,https://www.babelio.com/livres-/asie/316
orient,https://www.babelio.com/livres-/orient/496
iran,https://www.babelio.com/livres-/iran/537
afghanistan,https://www.babelio.com/livres-/afghanistan/725
corée,https://www.babelio.com/livres-/coree/1312
viêt-nam,https://www.babelio.com/livres-/viet-nam/7008
moyen-orient,https://www.babelio.com/livres-/moyen-orient/11576
littérature autrichienne,https://www.babelio.com/livres-/litterature-autrichienne/404
littérature espagnole,https://www.babelio.com/livres-/litterature-espagnole/444
amérique du sud,https://www.babelio.com/livres-/amerique-du-sud/552
argentine,https://www.babelio.com/livres-/argentine/960
brésil,https://www.babelio.com/livres-/bresil/968
littérature québécoise,https://www.babelio.com/livres-/litterature-quebecoise/593
italie,https://www.babelio.com/livres-/italie/122
russie,https://www.babelio.com/livres-/russie/175
suède,https://www.babelio.com/livres-/suede/216
allemagne,https://www.babelio.com/livres-/allemagne/221
grèce,https://www.babelio.com/livres-/grece/279
espagne,https://www.babelio.com/livres-/espagne/309
belgique,https://www.babelio.com/livres-/belgique/344
islande,https://www.babelio.com/livres-/islande/523
suisse,https://www.babelio.com/livres-/suisse/870
ecosse,https://www.babelio.com/livres-/ecosse/954
urss,https://www.babelio.com/livres-/urss/1393
pologne,https://www.babelio.com/livres-/pologne/1410
canada,https://www.babelio.com/livres-/canada/550
cuba,https://www.babelio.com/livres-/cuba/910
mexique,https://www.babelio.com/livres-/mexique/1697
littérature scandinave,https://www.babelio.com/livres-/litterature-scandinave/920
littérature danoise,https://www.babelio.com/livres-/litterature-danoise/1066
littérature islandaise,https://www.babelio.com/livres-/litterature-islandaise/2573
littérature canadienne,https://www.babelio.com/livres-/litterature-canadienne/1041
japon,https://www.babelio.com/livres-/japon/42
littérature japonaise,https://www.babelio.com/livres-/litterature-japonaise/114
turquie,https://www.babelio.com/livres-/turquie/1159
israël,https://www.babelio.com/livres-/isral/434
liban,https://www.babelio.com/livres-/liban/1321
algérie,https://www.babelio.com/livres-/algerie/615
maroc,https://www.babelio.com/livres-/maroc/3137
australie,https://www.babelio.com/livres-/australie/332
anglais,https://www.babelio.com/livres-/anglais/43
angleterre,https://www.babelio.com/livres-/angleterre/64
littérature italienne,https://www.babelio.com/livres-/litterature-italienne/148
littérature suisse,https://www.babelio.com/livres-/litterature-suisse/1054
littérature allemande,https://www.babelio.com/livres-/litterature-allemande/137
contemporain,https://www.babelio.com/livres-/contemporain/50
20ème siècle,https://www.babelio.com/livres-/20eme-siecle/2410
années 50,https://www.babelio.com/livres-/annees-50/7663
21ème siècle,https://www.babelio.com/livres-/21eme-siecle/10821
renaissance,https://www.babelio.com/livres-/renaissance/437
moyen-âge,https://www.babelio.com/livres-/moyen-age/83
médiéval,https://www.babelio.com/livres-/medieval/1053
18ème siecle,https://www.babelio.com/livres-/18eme-siecle/3323
19ème siècle,https://www.babelio.com/livres-/19eme-siecle/3621
années 60,https://www.babelio.com/livres-/annees-60/7324
16ème siècle,https://www.babelio.com/livres-/16eme-siecle/15196
17ème siècle,https://www.babelio.com/livres-/17eme-siecle/13775
